Serial Number:20293298 --

Date Time - GMT +05:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Button Down,EOF,
2018-05-03 08:08:23,54.23,85.10,49.88, , , ,
2018-05-03 08:10:03, , , ,Logged, , ,
2018-05-03 08:23:23,53.23,88.90,50.07, , , ,
2018-05-03 08:38:23,50.99,92.69,48.97, , , ,
2018-05-03 08:52:53, , , ,Logged, , ,
2018-05-03 08:53:23,49.76,95.80,48.63, , , ,
2018-05-03 08:56:50, , , , ,Logged, ,
2018-05-03 08:56:53, , , ,Logged, , ,
2018-05-03 09:08:23,49.29,97.67,48.68, , , ,
2018-05-03 09:23:23,48.44,97.17,47.69, , , ,
2018-05-03 09:38:23,48.44,97.94,47.90, , , ,
2018-05-03 09:53:23,48.75,98.79,48.44, , , ,
2018-05-03 10:08:23,48.67,97.99,48.15, , , ,
2018-05-03 10:23:23,48.60,97.97,48.07, , , ,
2018-05-03 10:38:23,48.52,98.79,48.21, , , ,
2018-05-03 10:53:23,48.44,98.34,48.01, , , ,
2018-05-03 11:08:23,48.60,98.42,48.19, , , ,
2018-05-03 11:23:23,48.44,98.39,48.03, , , ,
2018-05-03 11:38:23,48.13,98.68,47.80, , , ,
2018-05-03 11:53:23,47.98,97.91,47.43, , , ,
2018-05-03 12:08:23,48.21,99.53,48.10, , , ,
2018-05-03 12:23:23,48.98,98.87,48.70, , , ,
2018-05-03 12:38:23,49.60,98.52,49.22, , , ,
2018-05-03 12:53:23,49.29,98.05,48.78, , , ,
2018-05-03 13:08:23,49.37,98.10,48.87, , , ,
2018-05-03 13:23:23,48.91,98.47,48.51, , , ,
2018-05-03 13:38:23,48.98,98.87,48.70, , , ,
2018-05-03 13:53:23,48.60,98.82,48.30, , , ,
2018-05-03 14:08:23,48.44,98.74,48.12, , , ,
2018-05-03 14:23:23,48.67,99.16,48.47, , , ,
2018-05-03 14:38:23,48.60,98.76,48.28, , , ,
2018-05-03 14:53:23,48.37,99.13,48.15, , , ,
2018-05-03 15:08:23,48.13,99.13,47.92, , , ,
2018-05-03 15:23:23,48.13,99.13,47.92, , , ,
2018-05-03 15:38:23,47.98,99.11,47.76, , , ,
2018-05-03 15:53:23,48.13,99.48,48.01, , , ,
2018-05-03 16:08:23,47.67,99.06,47.43, , , ,
2018-05-03 16:23:23,47.83,99.87,47.81, , , ,
2018-05-03 16:38:23,48.37,99.19,48.17, , , ,
2018-05-03 16:53:23,48.52,98.37,48.10, , , ,
2018-05-03 17:08:23,48.52,97.57,47.88, , , ,
2018-05-03 17:23:23,48.52,98.02,48.00, , , ,
2018-05-03 17:38:23,48.29,96.79,47.44, , , ,
2018-05-03 17:53:23,48.21,96.31,47.23, , , ,
2018-05-03 18:08:23,48.06,96.31,47.07, , , ,
2018-05-03 18:23:23,47.75,96.71,46.88, , , ,
2018-05-03 18:38:23,47.44,95.85,46.33, , , ,
2018-05-03 18:53:23,47.28,94.97,45.93, , , ,
2018-05-03 19:08:23,47.13,95.75,45.99, , , ,
2018-05-03 19:23:23,46.98,95.77,45.85, , , ,
2018-05-03 19:38:23,46.98,95.40,45.74, , , ,
2018-05-03 19:53:23,46.90,96.18,45.88, , , ,
2018-05-03 20:08:23,46.67,95.69,45.52, , , ,
2018-05-03 20:23:23,46.82,95.29,45.56, , , ,
2018-05-03 20:38:23,47.05,94.53,45.58, , , ,
2018-05-03 20:53:23,47.05,94.59,45.60, , , ,
2018-05-03 21:08:23,47.21,93.40,45.41, , , ,
2018-05-03 21:23:23,47.13,92.96,45.22, , , ,
2018-05-03 21:38:23,47.21,92.93,45.28, , , ,
2018-05-03 21:53:23,47.28,92.96,45.37, , , ,
2018-05-03 22:08:23,47.28,92.55,45.25, , , ,
2018-05-03 22:23:23,47.36,92.17,45.22, , , ,
2018-05-03 22:38:23,47.28,92.52,45.24, , , ,
2018-05-03 22:53:23,47.44,91.73,45.17, , , ,
2018-05-03 23:08:23,47.21,92.17,45.07, , , ,
2018-05-03 23:23:23,47.13,91.24,44.72, , , ,
2018-05-03 23:38:23,47.13,91.70,44.86, , , ,
2018-05-03 23:53:23,47.05,92.17,44.91, , , ,
2018-05-04 00:08:23,46.74,93.69,45.04, , , ,
2018-05-04 00:23:23,46.51,92.50,44.47, , , ,
2018-05-04 00:38:23,46.28,93.99,44.66, , , ,
2018-05-04 00:53:23,46.36,92.82,44.41, , , ,
2018-05-04 01:08:23,46.28,93.26,44.46, , , ,
